SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1712678965.547524, , , , , , -8.320763, , , 
1712678965.577831, , , , , , -8.156722, , , 
1712678965.608185, , , , , , -7.971066, , , 
1712678965.638430, , , , , , -7.778725, , , 
1712678965.668736, , , , , , -7.586965, , , 
1712678965.699037, , , , , , -7.408210, , , 
1712678965.729340, , , , , , -7.246640, , , 
1712678965.759642, , , , , , -7.111591, , , 
1712678965.789951, , , , , , -7.010725, , , 
1712678965.820248, , , , , , -6.942886, , , 
1712678965.850552, , , , , , -6.918148, , , 
1712678965.880850, , , , , , -6.930873, , , 
1712678965.911262, , , , , , -6.984632, , , 
1712678965.941458, , , , , , -7.075361, , , 
1712678965.971867, , , , , , -7.195063, , , 
1712678966.001585, , , , , , -7.347892, , , 
1712678966.032475, , , , , , -7.517295, , , 
1712678966.062666, , , , , , -7.701055, , , 
1712678966.093081, , , , , , -7.883543, , , 
1712678966.123272, , , , , , -8.066007, , , 
1712678966.153668, , , , , , -8.225043, , , 
1712678966.183874, , , , , , -8.356277, , , 
1712678966.214268, , , , , , -8.451825, , , 
1712678966.244450, , , , , , -8.504939, , , 
1712678966.274871, , , , , , -8.510942, , , 
1712678966.305085, , , , , , -8.470161, , , 
1712678966.335477, , , , , , -8.377384, , , 
1712678966.365689, , , , , , -8.246051, , , 
1712678966.395559, , , , , , -8.083779, , , 
1712678966.426256, , , , , , -7.900994, , , 
1712678966.456634, , , , , , -7.709804, , , 
1712678966.486899, , , , , , -7.453759, , , 
1712678966.517181, , , , , , -7.333508, , , 
1712678966.547508, , , , , , -7.116899, , , 
1712678966.577806, , , , , , -6.987729, , , 
1712678966.608154, , , , , , -6.889754, , , 
1712678966.638410, , , , , , -6.820032, , , 
1712678966.668715, , , , , , -6.796670, , , 
1712678966.699028, , , , , , -6.814159, , , 
1712678966.729343, , , , , , -6.864597, , , 
1712678966.759724, , , , , , -6.954562, , , 
1712678966.789926, , , , , , -7.078139, , , 
1712678966.820222, , , , , , -7.225614, , , 
1712678966.850528, , , , , , -7.394115, , , 
1712678966.880834, , , , , , -7.578259, , , 
1712678966.911096, , , , , , -7.763445, , , 
1712678966.941433, , , , , , -7.942274, , , 
1712678966.971827, , , , , , -8.103779, , , 
1712678967.002071, , , , , , -8.241920, , , 
1712678967.032189, , , , , , -8.343990, , , 
1712678967.062747, , , , , , -8.404698, , , 
1712678967.093058, , , , , , -8.418335, , , 
1712678967.123416, , , , , , -8.382594, , , 
1712678967.153640, , , , , , -8.298027, , , 
1712678967.183857, , , , , , -8.176842, , , 
1712678967.214133, , , , , , -8.022433, , , 
1712678967.244569, , , , , , -7.844065, , , 
1712678967.274760, , , , , , -7.651771, , , 
1712678967.305066, , , , , , -7.460009, , , 
1712678967.335461, , , , , , -7.275583, , , 
1712678967.365666, , , , , , -7.101066, , , 
1712678967.396067, , , , , , -6.953465, , , 
1712678967.426272, , , , , , -6.830768, , , 
1712678967.456672, , , , , , -6.745955, , , 
1712678967.486875, , , , , , -6.688415, , , 
1712678967.517186, , , , , , -6.680697, , , 
1712678967.547482, , , , , , -6.719825, , , 
1712678967.577779, , , , , , -6.795259, , , 
1712678967.608107, , , , , , -6.904593, , , 
1712678967.638386, , , , , , -7.044062, , , 
1712678967.668690, , , , , , -7.204176, , , 
1712678967.698991, , , , , , -7.382665, , , 
1712678967.729295, , , , , , -7.565790, , , 
1712678967.759701, , , , , , -7.752319, , , 
1712678967.789900, , , , , , -7.922289, , , 
1712678967.820202, , , , , , -8.074553, , , 
1712678967.850280, , , , , , -8.193507, , , 
1712678967.880804, , , , , , -8.283505, , , 
1712678967.911220, , , , , , -8.320881, , , 
1712678967.941505, , , , , , -8.312789, , , 
1712678967.971799, , , , , , -8.258405, , , 
1712678968.001988, , , , , , -8.158108, , , 
1712678968.032177, , , , , , -8.021147, , , 
1712678968.062713, , , , , , -7.855418, , , 
1712678968.093012, , , , , , -7.673391, , , 
1712678968.123329, , , , , , -7.481039, , , 
